place,mobility,coefficient,p_val,period,wave,Significant (p<0.01)
peel,Residential,0.19402482776788274,0.10244759820216327,Lockdown,Wave 2,No
peel,Global,0.08115288831408522,0.4979793531813588,Lockdown,Wave 2,No
toronto,Retail,-0.06346215756843875,0.5963864082252605,Lockdown,Wave 2,No
toronto,Grocery,-0.07662813511118653,0.5223199664307664,Lockdown,Wave 2,No
toronto,Parks,0.12168767951335303,0.3085481253847564,Lockdown,Wave 2,No
toronto,Transit,-0.1082652013345235,0.3653342839959268,Lockdown,Wave 2,No
toronto,Workplaces,-0.21553768493950617,0.06901427287565821,Lockdown,Wave 2,No
toronto,Residential,0.14532113264326457,0.22322865872228104,Lockdown,Wave 2,No
toronto,Global,-0.048927325751792476,0.683170326450544,Lockdown,Wave 2,No
halton,Retail,-0.030470522051650226,0.8285283326181456,Lockdown,Wave 2,No
halton,Grocery,-0.03970846725762819,0.7777134031219526,Lockdown,Wave 2,No
halton,Parks,0.2453823287469793,0.07656079340972616,Lockdown,Wave 2,No
halton,Transit,-0.016166654908152646,0.9085275524281615,Lockdown,Wave 2,No
halton,Workplaces,-0.25437905059586097,0.06604561033383807,Lockdown,Wave 2,No
halton,Residential,0.10323225385311006,0.4619801772807305,Lockdown,Wave 2,No
halton,Global,0.08734661038986709,0.5339942521398853,Lockdown,Wave 2,No
york,Retail,0.13565681168314778,0.30562268065876247,Lockdown,Wave 2,No
york,Grocery,0.16606353782599748,0.2087480383682477,Lockdown,Wave 2,No
